Metric,Ticker,Year,Value
P/E Ratio,MSFT,Year 1,25.779925474186534
Basic EPS,MSFT,Year 1,9.7
Free Cash Flow,MSFT,Year 1,65149000000.0
Operating Cash Flow,MSFT,Year 1,89035000000.0
Investing Cash Flow,MSFT,Year 1,-30311000000.0
Dividends,MSFT,Year 1,0.62
Net Income,MSFT,Year 1,72738000000.0
Diluted EPS,MSFT,Year 1,9.65
Share Price,MSFT,Year 1,250.06527709960938
Total Assets,MSFT,Year 1,364840000000.0
Total Liabilities Net Minority Interest,MSFT,Year 1,198298000000.0
Total Equity Gross Minority Interest,MSFT,Year 1,166542000000.0
Basic Average Shares,MSFT,Year 1,7496000000.0
Diluted Average Shares,MSFT,Year 1,7540000000.0
Date,GOOGL,Year 4,2024
Ticker,GOOGL,Year 4,GOOGL
P/E Ratio,GOOGL,Year 4,23.208469892926466
Basic EPS,GOOGL,Year 4,8.13
Free Cash Flow,GOOGL,Year 4,72764000000.0
Operating Cash Flow,GOOGL,Year 4,125299000000.0
Investing Cash Flow,GOOGL,Year 4,-45536000000.0
Dividends,GOOGL,Year 4,0.2
Net Income,GOOGL,Year 4,100118000000.0
Diluted EPS,GOOGL,Year 4,8.04
Share Price,GOOGL,Year 4,188.6848602294922
Total Assets,GOOGL,Year 4,450256000000.0
Total Liabilities Net Minority Interest,GOOGL,Year 4,125172000000.0
Total Equity Gross Minority Interest,GOOGL,Year 4,325084000000.0
Basic Average Shares,GOOGL,Year 4,12319000000.0
Diluted Average Shares,GOOGL,Year 4,12447000000.0
Date,GOOGL,Year 3,2023
Ticker,GOOGL,Year 3,GOOGL
P/E Ratio,GOOGL,Year 3,23.75567710562928
Basic EPS,GOOGL,Year 3,5.84
Free Cash Flow,GOOGL,Year 3,69495000000.0
Operating Cash Flow,GOOGL,Year 3,101746000000.0
Investing Cash Flow,GOOGL,Year 3,-27063000000.0
Dividends,GOOGL,Year 3,0.0
Net Income,GOOGL,Year 3,73795000000.0
Diluted EPS,GOOGL,Year 3,5.8
Share Price,GOOGL,Year 3,138.733154296875
Total Assets,GOOGL,Year 3,402392000000.0
Total Liabilities Net Minority Interest,GOOGL,Year 3,119013000000.0
Total Equity Gross Minority Interest,GOOGL,Year 3,283379000000.0
Basic Average Shares,GOOGL,Year 3,12630000000.0
Diluted Average Shares,GOOGL,Year 3,12722000000.0
Date,GOOGL,Year 2,2022
Ticker,GOOGL,Year 2,GOOGL
P/E Ratio,GOOGL,Year 2,19.090555228439033
Basic EPS,GOOGL,Year 2,4.59
Free Cash Flow,GOOGL,Year 2,60010000000.0
Operating Cash Flow,GOOGL,Year 2,91495000000.0
Investing Cash Flow,GOOGL,Year 2,-20298000000.0
Dividends,GOOGL,Year 2,0.0
Net Income,GOOGL,Year 2,59972000000.0
Diluted EPS,GOOGL,Year 2,4.56
Share Price,GOOGL,Year 2,87.62564849853516
Total Assets,GOOGL,Year 2,365264000000.0
Total Liabilities Net Minority Interest,GOOGL,Year 2,109120000000.0
Total Equity Gross Minority Interest,GOOGL,Year 2,256144000000.0
Basic Average Shares,GOOGL,Year 2,13063000000.0
Diluted Average Shares,GOOGL,Year 2,13159000000.0
Date,GOOGL,Year 1,2021
Ticker,GOOGL,Year 1,GOOGL
P/E Ratio,GOOGL,Year 1,25.265154019547715
Basic EPS,GOOGL,Year 1,5.694
Free Cash Flow,GOOGL,Year 1,67012000000.0
Operating Cash Flow,GOOGL,Year 1,91652000000.0
Investing Cash Flow,GOOGL,Year 1,-35523000000.0
Dividends,GOOGL,Year 1,0.0
Net Income,GOOGL,Year 1,76033000000.0
Diluted EPS,GOOGL,Year 1,5.61
Share Price,GOOGL,Year 1,143.8597869873047
Total Assets,GOOGL,Year 1,359268000000.0
Total Liabilities Net Minority Interest,GOOGL,Year 1,107633000000.0
Total Equity Gross Minority Interest,GOOGL,Year 1,251635000000.0
Basic Average Shares,GOOGL,Year 1,13353000000.0
Diluted Average Shares,GOOGL,Year 1,13553480000.0
Date,AMZN,Year 5,2024
Ticker,AMZN,Year 5,AMZN
P/E Ratio,AMZN,Year 5,38.761483991103965
Basic EPS,AMZN,Year 5,5.66
Free Cash Flow,AMZN,Year 5,32878000000.0
Operating Cash Flow,AMZN,Year 5,115877000000.0
Investing Cash Flow,AMZN,Year 5,-94342000000.0
Dividends,AMZN,Year 5,0.0
Net Income,AMZN,Year 5,59248000000.0
Diluted EPS,AMZN,Year 5,5.53
Share Price,AMZN,Year 5,219.38999938964844
Total Assets,AMZN,Year 5,624894000000.0
Total Liabilities Net Minority Interest,AMZN,Year 5,338924000000.0
Total Equity Gross Minority Interest,AMZN,Year 5,285970000000.0
Basic Average Shares,AMZN,Year 5,10473000000.0
Diluted Average Shares,AMZN,Year 5,10721000000.0
Date,AMZN,Year 4,2023
Ticker,AMZN,Year 4,AMZN
P/E Ratio,AMZN,Year 4,51.505085573358045
Basic EPS,AMZN,Year 4,2.95
Free Cash Flow,AMZN,Year 4,32217000000.0
Operating Cash Flow,AMZN,Year 4,84946000000.0
Investing Cash Flow,AMZN,Year 4,-49833000000.0
Dividends,AMZN,Year 4,0.0
Net Income,AMZN,Year 4,30425000000.0
Diluted EPS,AMZN,Year 4,2.9
Share Price,AMZN,Year 4,151.94000244140625
Total Assets,AMZN,Year 4,527854000000.0
Total Liabilities Net Minority Interest,AMZN,Year 4,325979000000.0
Total Equity Gross Minority Interest,AMZN,Year 4,201875000000.0
Basic Average Shares,AMZN,Year 4,10304000000.0
Diluted Average Shares,AMZN,Year 4,10492000000.0
Date,AMZN,Year 3,2022
Ticker,AMZN,Year 3,AMZN
P/E Ratio,AMZN,Year 3,-311.1111111111111
Basic EPS,AMZN,Year 3,-0.27
Free Cash Flow,AMZN,Year 3,-16893000000.0
Operating Cash Flow,AMZN,Year 3,46752000000.0
Investing Cash Flow,AMZN,Year 3,-37601000000.0
Dividends,AMZN,Year 3,0.0
Net Income,AMZN,Year 3,-2722000000.0
Diluted EPS,AMZN,Year 3,-0.27
Share Price,AMZN,Year 3,84.0
Total Assets,AMZN,Year 3,462675000000.0
Total Liabilities Net Minority Interest,AMZN,Year 3,316632000000.0
Total Equity Gross Minority Interest,AMZN,Year 3,146043000000.0
Basic Average Shares,AMZN,Year 3,10189000000.0
Diluted Average Shares,AMZN,Year 3,10189000000.0
Date,AMZN,Year 2,2021
Ticker,AMZN,Year 2,AMZN
P/E Ratio,AMZN,Year 2,50.5509385200903
Basic EPS,AMZN,Year 2,3.298
Free Cash Flow,AMZN,Year 2,-14726000000.0
Operating Cash Flow,AMZN,Year 2,46327000000.0
Investing Cash Flow,AMZN,Year 2,-58154000000.0
Dividends,AMZN,Year 2,0.0
Net Income,AMZN,Year 2,33364000000.0
Diluted EPS,AMZN,Year 2,3.2405
Share Price,AMZN,Year 2,166.7169952392578
Total Assets,AMZN,Year 2,420549000000.0
Total Liabilities Net Minority Interest,AMZN,Year 2,282304000000.0
Total Equity Gross Minority Interest,AMZN,Year 2,138245000000.0
Basic Average Shares,AMZN,Year 2,10120000000.0
Diluted Average Shares,AMZN,Year 2,10300000000.0
